24,0.127,0.196,0.198,0.234,0.223,0.223,0.189,0.231,0.233,0.251,0.241,0.238
25,0.126,0.196,0.194,0.233,0.224,0.222,0.182,0.231,0.233,0.24,0.245,0.24
26,0.124,0.193,0.196,0.232,0.222,0.222,0.181,0.234,0.233,0.24,0.241,0.234
27,0.121,0.197,0.192,0.231,0.222,0.224,0.182,0.231,0.238,0.242,0.243,0.237
28,0.119,0.194,0.191,0.237,0.227,0.224,0.182,0.238,0.234,0.238,0.241,0.239
29,0.117,0.193,0.191,0.233,0.225,0.222,0.181,0.233,0.233,0.241,0.24,0.239
30,0.116,0.191,0.193,0.23,0.226,0.228,0.179,0.232,0.236,0.24,0.241,0.237
31,0.113,0.187,0.19,0.234,0.226,0.227,0.18,0.231,0.237,0.244,0.244,0.237
32,0.113,0.191,0.19,0.234,0.226,0.224,0.175,0.233,0.236,0.239,0.242,0.24
33,0.112,0.19,0.183,0.234,0.225,0.223,0.173,0.232,0.239,0.237,0.244,0.236
34,0.111,0.189,0.187,0.232,0.233,0.221,0.175,0.228,0.239,0.238,0.238,0.236
35,0.11,0.187,0.186,0.227,0.225,0.221,0.175,0.228,0.234,0.248,0.244,0.234
36,0.111,0.185,0.184,0.231,0.222,0.224,0.178,0.234,0.24,0.245,0.242,0.237
37,0.108,0.184,0.185,0.232,0.222,0.221,0.173,0.23,0.236,0.24,0.243,0.241
38,0.107,0.184,0.184,0.231,0.222,0.222,0.172,0.229,0.239,0.243,0.241,0.237
39,0.106,0.184,0.181,0.23,0.221,0.218,0.172,0.228,0.237,0.24,0.242,0.238
40,0.105,0.183,0.178,0.232,0.227,0.22,0.172,0.23,0.241,0.244,0.243,0.236
41,0.105,0.18,0.179,0.233,0.222,0.221,0.171,0.231,0.239,0.243,0.249,0.233
42,0.104,0.178,0.181,0.229,0.227,0.223,0.167,0.231,0.236,0.243,0.246,0.238
43,0.103,0.178,0.178,0.227,0.226,0.22,0.167,0.234,0.237,0.244,0.242,0.235
44,0.103,0.179,0.177,0.235,0.225,0.224,0.167,0.227,0.236,0.24,0.242,0.231
45,0.103,0.181,0.176,0.237,0.222,0.224,0.168,0.231,0.239,0.243,0.242,0.231
46,0.099,0.179,0.175,0.235,0.223,0.223,0.166,0.23,0.237,0.238,0.245,0.237
47,0.1,0.179,0.175,0.24,0.229,0.224,0.165,0.237,0.235,0.236,0.244,0.228
48,0.1,0.177,0.173,0.235,0.224,0.219,0.164,0.233,0.239,0.239,0.245,0.242
49,0.098,0.179,0.174,0.235,0.228,0.221,0.163,0.231,0.238,0.24,0.237,0.235
50,0.097,0.176,0.172,0.235,0.225,0.224,0.165,0.229,0.233,0.244,0.244,0.238
51,0.097,0.175,0.172,0.237,0.23,0.219,0.166,0.228,0.237,0.236,0.243,0.235
52,0.097,0.173,0.169,0.236,0.228,0.224,0.163,0.233,0.235,0.245,0.245,0.232
53,0.095,0.172,0.169,0.234,0.227,0.219,0.165,0.233,0.234,0.24,0.241,0.234
54,0.094,0.172,0.17,0.235,0.223,0.221,0.165,0.232,0.234,0.239,0.247,0.238
55,0.094,0.173,0.171,0.231,0.223,0.225,0.162,0.235,0.237,0.244,0.245,0.233
56,0.094,0.17,0.17,0.228,0.224,0.225,0.163,0.229,0.234,0.244,0.242,0.234
57,0.096,0.172,0.169,0.23,0.226,0.224,0.163,0.236,0.234,0.237,0.239,0.237
58,0.095,0.17,0.169,0.227,0.222,0.226,0.158,0.232,0.234,0.241,0.236,0.233
59,0.093,0.172,0.169,0.232,0.221,0.224,0.156,0.231,0.233,0.236,0.242,0.238
60,0.093,0.171,0.167,0.232,0.225,0.225,0.158,0.232,0.237,0.238,0.243,0.232
61,0.092,0.168,0.165,0.235,0.225,0.224,0.159,0.227,0.236,0.244,0.243,0.238
62,0.092,0.169,0.168,0.235,0.225,0.225,0.161,0.231,0.235,0.243,0.245,0.238
63,0.091,0.168,0.168,0.234,0.227,0.224,0.161,0.228,0.234,0.236,0.241,0.228
64,0.092,0.167,0.166,0.235,0.22,0.223,0.16,0.233,0.233,0.246,0.242,0.241
65,0.092,0.166,0.167,0.229,0.219,0.226,0.16,0.234,0.231,0.239,0.241,0.237
66,0.092,0.165,0.167,0.231,0.227,0.223,0.159,0.23,0.234,0.242,0.251,0.239
