,1111111111,1111114444,1111144447,1111223344,1111234444,1111234567,1111444444,1111444477,1111556677,1114556677,1234556677,1455666777,2233445677
19,0.136,0.139,0.151,0.142,0.144,0.167,0.146,0.168,0.192,0.205,0.212,0.242,0.202
20,0.131,0.135,0.147,0.138,0.143,0.165,0.143,0.163,0.189,0.201,0.209,0.244,0.206
21,0.129,0.135,0.148,0.138,0.139,0.166,0.142,0.157,0.187,0.204,0.206,0.245,0.2
22,0.129,0.131,0.146,0.133,0.136,0.165,0.14,0.156,0.187,0.202,0.204,0.239,0.208
23,0.126,0.13,0.144,0.132,0.136,0.163,0.137,0.155,0.182,0.2,0.204,0.23,0.196
24,0.124,0.131,0.14,0.133,0.134,0.166,0.133,0.154,0.177,0.191,0.201,0.236,0.201
25,0.122,0.128,0.137,0.129,0.134,0.158,0.132,0.148,0.182,0.194,0.201,0.238,0.185
26,0.12,0.125,0.134,0.128,0.133,0.158,0.128,0.146,0.18,0.195,0.201,0.235,0.192
27,0.119,0.126,0.133,0.125,0.131,0.155,0.128,0.147,0.18,0.194,0.204,0.241,0.189
28,0.117,0.121,0.135,0.125,0.127,0.157,0.129,0.143,0.179,0.193,0.199,0.245,0.192
29,0.116,0.118,0.134,0.124,0.125,0.157,0.125,0.144,0.18,0.199,0.199,0.235,0.188
30,0.114,0.118,0.132,0.121,0.126,0.152,0.126,0.142,0.173,0.191,0.195,0.243,0.19
31,0.113,0.114,0.132,0.12,0.12,0.152,0.123,0.142,0.17,0.193,0.193,0.236,0.186
32,0.11,0.117,0.13,0.119,0.123,0.153,0.123,0.138,0.171,0.191,0.193,0.23,0.177
33,0.11,0.115,0.128,0.122,0.122,0.151,0.121,0.141,0.17,0.191,0.191,0.231,0.185
34,0.107,0.113,0.126,0.119,0.118,0.15,0.122,0.144,0.168,0.195,0.195,0.239,0.182
35,0.105,0.113,0.124,0.117,0.118,0.152,0.122,0.136,0.161,0.194,0.186,0.23,0.183
36,0.106,0.113,0.123,0.117,0.116,0.145,0.119,0.139,0.169,0.195,0.192,0.236,0.187
37,0.105,0.11,0.123,0.118,0.116,0.147,0.118,0.136,0.165,0.189,0.191,0.228,0.183
38,0.106,0.109,0.122,0.113,0.118,0.151,0.118,0.136,0.161,0.191,0.191,0.229,0.179
39,0.102,0.108,0.12,0.115,0.119,0.151,0.117,0.139,0.161,0.184,0.193,0.219,0.178
40,0.102,0.108,0.124,0.114,0.119,0.146,0.115,0.136,0.155,0.185,0.186,0.23,0.176
41,0.103,0.105,0.122,0.117,0.115,0.149,0.114,0.138,0.156,0.185,0.191,0.226,0.184
42,0.103,0.106,0.12,0.114,0.115,0.142,0.118,0.14,0.152,0.187,0.185,0.241,0.177
43,0.1,0.107,0.119,0.114,0.113,0.145,0.111,0.138,0.159,0.185,0.19,0.237,0.178
44,0.099,0.105,0.12,0.114,0.111,0.139,0.113,0.141,0.148,0.183,0.184,0.226,0.176
45,0.099,0.104,0.117,0.111,0.112,0.145,0.113,0.132,0.156,0.188,0.187,0.223,0.174
46,0.099,0.106,0.115,0.111,0.112,0.141,0.114,0.135,0.155,0.182,0.183,0.227,0.176
47,0.096,0.103,0.115,0.107,0.112,0.142,0.114,0.133,0.15,0.185,0.183,0.233,0.169
